name;url;occupation;estate;lan;kommun;wikidata_id;person_id
Theodor Bruun;/wiki/Theodor_Bruun_(nuorempi);;nobility;;;;i-U2A7cwzeuhuxLi8KooFg4u
Tom Hjalmar Carpelan;/wiki/Tom_Hjalmar_Carpelan;;nobility;;;;i-6qhz6MNjaSJf4k4yzP7rko
Tor Carpelan;/wiki/Tor_Carpelan;;nobility;;;;i-Eoh6go1r2gZUEHoWkD2wZf
Axel Fredrik Nikolaus Cedercreutz;/wiki/Axel_Fredrik_Nikolaus_Cedercreutz;;nobility;;;;i-NDu3XB3xk3uT4c2LFvLbZz
Emil Waldemar Cedercreutz;/wiki/Emil_Waldemar_Cedercreutz;;nobility;;;;i-SGZvu2gmDdnsbFXvehPV56
Gustaf Johan Reinhold Cedercreutz;/wiki/Gustaf_Johan_Reinhold_Cedercreutz;;nobility;;;;i-Wk2CGMXF9NZnSdq26M5ZN9
Arne Cederholm;/wiki/Arne_Cederholm;;nobility;;;;i-S4N4b2keBxeCJJKy8Ryks3
Richard Casimir de la Chapelle;/wiki/Richard_Casimir_de_la_Chapelle;;nobility;;;;i-CxC5n56mokAqSKPwqL2VNN
Axel Fredrik Charpentier;/wiki/Axel_Fredrik_Charpentier;;nobility;;;;i-QvFYn2SbCevwzepahRX1Eo
Carl Axel Gustaf von Christierson;/wiki/Carl_Axel_Gustaf_von_Christierson;;nobility;;;;i-Ra6DZsbiF1Qi4QsVYUsB4f
Alexander von Collan;/wiki/Alexander_von_Collan;;nobility;;;;i-B7K44WE4uTopCniVGbSNrZ
Clas von Collan;/wiki/Clas_von_Collan;;nobility;;;;i-Dyoum1uqVHJc4aBfw4FSSa
Gustaf Filip Creutz;/wiki/Gustaf_Filip_Creutz_(tilanomistaja);tilanomistaja;nobility;;;;i-W2pfNtUzJWuFavRakcdU7X
Carl Anton Reinhold Ludvig Cronstedt;/wiki/Carl_Anton_Reinhold_Ludvig_Cronstedt;;nobility;;;;i-2ZVFdKNgodWAvp9mUf7Ku6
Gabriel Benjamin Cronstedt;/wiki/Gabriel_Benjamin_Cronstedt;;nobility;;;;i-AeAKY6FRuKvjWSGR8TKYMW
Frans Edvard Edelheim;/wiki/Frans_Edvard_Edelheim;;nobility;;;;i-893yjQTkC3raezZozvP5nd
Alexander Kasimir Ehrnrooth;/wiki/Alexander_Kasimir_Ehrnrooth;;nobility;;;;i-6wcYti4M8dnHXbFDVXC9t9
Axel Ehrnrooth;/wiki/Axel_Ehrnrooth;;nobility;;;;i-PyyELpiiVyvdj4dMGXBMfd
Georg Ehrnrooth;/wiki/Georg_Ehrnrooth_(vuorineuvos,_1866%E2%80%931935);vuorineuvos;nobility;;;;i-Svni6aX5bhGV2ryvepBXto
Gustaf Robert Ehrnrooth;/wiki/Gustaf_Robert_Ehrnrooth;;nobility;;;;i-SbX61wokaS67ghtHrcjkgQ
Leo Ehrnrooth;/wiki/Leo_Ehrnrooth;;nobility;;;Q4413049;i-SXNWTjE9HN5oyuWqsYxf5Y
Axel Ekestubbe;/wiki/Axel_Ekestubbe;;nobility;;;;i-SyVV264UBZ1JB58yfmkdmz
Hugo Edvard af Enehjelm;/wiki/Hugo_Edvard_af_Enehjelm;;nobility;;;;i-2ajE7JaFMbUYwaiy96tsv9
Arthur Reinhold von Essen;/wiki/Arthur_Reinhold_von_Essen;;nobility;;;;i-DTCBRT9AaMKs7eLkCRmGkS
Bernhard Estlander;/wiki/Bernhard_Estlander;;nobility;;;;i-PLyPRr4UAy58WNh8KVMjYT
Carl Georg Estlander;/wiki/Carl_Georg_Estlander;;nobility;;;;i-3XKSNQXdti9jfHeuCR5iY4
Ernst Estlander;/wiki/Ernst_Estlander;;nobility;;;Q5720020;i-Xf4P3uUdXEXzZV8Cv8qecp
Hans Henrik Estlander;/wiki/Hans_Henrik_Estlander;;nobility;;;;i-KHiayBK11WrtpMd7gYcFdd
Jakob Bernhard Estlander;/wiki/Jakob_Bernhard_Estlander;;nobility;;;;i-Xj65dQxSdAb1LuPttC4ShV
Paul von Etter;/wiki/Paul_von_Etter_(1861);;nobility;;;;i-D711TKU9YcRjKQmWmQGtnW
Victor Ludvig Alexander Falck;/wiki/Victor_Ludvig_Alexander_Falck;;nobility;;;;i-XZZYBmXAzVMnL5wScZ93RP
Carl Wilhelm Daniel von Fieandt;/wiki/Carl_Wilhelm_Daniel_von_Fieandt;;nobility;;;;i-LBgUfgHuPnnZdDar6ZUzhW
