name;url;occupation;estate;lan;kommun;wikidata_id;person_id
Mauritz Wladimir Armfelt;/wiki/Mauritz_Wladimir_Armfelt;;nobility;;;;i-ByV3q8UYJxZUcqKajsXRpC
Carl August Johan Eugen Bergenstråle;/wiki/August_Bergenstr%C3%A5hle;;nobility;;;;i-XTNab9aPye5VciPF4orRsR
Hjalmar Erik Gabriel von Bonsdorff;/wiki/Hjalmar_Erik_Gabriel_von_Bonsdorff;;nobility;;;;i-GjXymzvmVbXvMvSnsXEVDh
Axel Björkenheim;/wiki/Axel_Bj%C3%B6rkenheim;;nobility;;;;i-REsb3HRKixELb2Qs7KmBoM
Hans Gustaf Boije;/wiki/Hans_Gustaf_Boije;;nobility;;;;i-ChuomtmkLkdJ7EejCZL8M7
Constantin Boije af Gennäs;/wiki/Constantin_Boije_af_Genn%C3%A4s;;nobility;;;;i-KR84sJFFS2USNruSw4DL1V
Axel Fredrik Nikolaus Cedercreutz;/wiki/Axel_Fredrik_Nikolaus_Cedercreutz;;nobility;;;;i-NDu3XB3xk3uT4c2LFvLbZz
Claes Leonard de la Chapelle;/wiki/Claes_Leonard_de_la_Chapelle;;nobility;;;;i-Hfckxq71YhMkaNT4Y6ZYF7
Karl Viktor de la Chapelle;/wiki/Karl_Viktor_de_la_Chapelle;;nobility;;;;i-8Aw9hmkGUr4yviJqVZp1KP
Gustaf Robert Alfred Charpentier;/wiki/Gustaf_Robert_Alfred_Charpentier;;nobility;;;;i-QYn16ak5qeRq4d9Vrw4qd4
Alexander von Collan;/wiki/Alexander_von_Collan;;nobility;;;;i-B7K44WE4uTopCniVGbSNrZ
Georg Mauritz von Christierson;/wiki/Georg_Mauritz_von_Christierson;;nobility;;;;i-5MPjVAbwqdX7wpyfj7xs8w
Alexander Cronhjelm;/wiki/Alexander_Cronhjelm;;nobility;;;;i-MZjGSV6EaQrvUyQv5EbDi
Alexander von Daehn;/wiki/Alexander_von_Daehn;;nobility;;;;i-PNuNCbEDkNbdhUFXgRbJsz
Frans Edvard Edelheim;/wiki/Frans_Edvard_Edelheim;;nobility;;;;i-893yjQTkC3raezZozvP5nd
Frans Ivar Edelheim;/wiki/Frans_Ivar_Edelheim;;nobility;;;;i-59t1pDS3froDd22WYonNXi
Adolf Reinhold Viktor Ehrnrooth;/wiki/Adolf_Reinhold_Viktor_Ehrnrooth;;nobility;;;;i-ModpSX4t69XxAKF7ekgvVg
Gustaf Robert Ehrnrooth;/wiki/Gustaf_Robert_Ehrnrooth;;nobility;;;;i-SbX61wokaS67ghtHrcjkgQ
Axel Ekestubbe;/wiki/Axel_Ekestubbe;;nobility;;;;i-SyVV264UBZ1JB58yfmkdmz
Alexander von Etter;/wiki/Alexander_von_Etter;;nobility;;;;i-raJP4KVhfRny4UGkxwDu4
Carl Wilhelm Daniel von Fieandt;/wiki/Carl_Wilhelm_Daniel_von_Fieandt;;nobility;;;;i-LBgUfgHuPnnZdDar6ZUzhW
Pehr Emil af Forselles;/wiki/Pehr_Emil_af_Forselles;;nobility;;;;i-GWGMuHZpB7JtXsedCoRVmg
Carl Fredrik Forsman;/wiki/Carl_Fredrik_Forsman;;nobility;;;;i-QWtmceu5tuL6iNKSbdGPzi
Carl Theodor von Frenckell;/wiki/Carl_Theodor_von_Frenckell;;nobility;;;;i-WTPJdE9dsMppVoEfCh64m2
Waldemar von Frenckell;/wiki/Waldemar_von_Frenckell;;nobility;;;;i-2ELCNXniPoUbrhGohCTZVH
Johan Carl Emil af Frosterus;/wiki/Johan_Carl_Emil_af_Frosterus;;nobility;;;;i-8JRHeBzG9FhLBAfHWFdMKQ
Elis Furuhjelm;/wiki/Elis_Furuhjelm;;nobility;;;;i-CN9ba2YkypvRWcT57zJXWv
Enok Hjalmar Furuhjelm;/wiki/Enok_Hjalmar_Furuhjelm;;nobility;;;;i-JAJQRTmdwNUqKSNrqbGWKb
Lars Magnus Vladimir Glansenstierna;/wiki/Lars_Magnus_Vladimir_Glansenstierna;;nobility;;;;i-JRuabJufBV6PK6Ww9smaZ3
Bernhard Fredrik Godenhjelm;/wiki/Bernhard_Fredrik_Godenhjelm;;nobility;;;;i-6SJ36VSykGCui6DgBkXMAq
A. A. Granfelt;/wiki/A._A._Granfelt;;nobility;;;;i-44XqmFJXMAvDCvwFoaKM3f
Alexis Gripenberg;/wiki/Alexis_Gripenberg;;nobility;;;;i-XAhPHpjCL41PGZ85XdBSmS
