name;url;occupation;estate;lan;kommun;wikidata_id;person_id
Adolf Johan Lilliebrunn;/wiki/Adolf_Johan_Lilliebrunn;;nobility;;;Q104551840;i-8NLUfeFi4f6dm4dhXM28Dc
Henrik Johan Kuhlefelt;/wiki/Henrik_Johan_Kuhlefelt;;nobility;;;Q104551835;i-7LoVr293hXMohtVqM8oqWd
Johan Anders Gyldenär;/wiki/Johan_Anders_Gylden%C3%A4r;;nobility;;;;i-52UApv4BWXTp4mFaodcLRw
Berndt Henrik Aminoff;/wiki/Berndt_Henrik_Aminoff;;nobility;;;Q104551827;i-FaKMEEfi3TMUuBz9Mb4reR
Carl Johan Armfelt;/wiki/Carl_Johan_Armfelt;;nobility;;;Q104551815;i-ShSqKxsKjsrqLxqcDTQ4vS
Carl Edvard Gyldenstolpe;/wiki/Carl_Edvard_Gyldenstolpe;;nobility;;;Q2679655;i-G7pBqgMojRr9AymmEtQzEN
Carl Vilhelm Torwigge;/wiki/Carl_Vilhelm_Torwigge;;nobility;;;Q104551807;i-LMEScfuydVjqcwbYGSxdsR
Albrecht Fredrik Richard de la Chapelle;/wiki/Albrecht_Fredrik_Richard_de_la_Chapelle;;nobility;;;Q11850636;i-Q1N8PN7b15c7kKuCCwqBkf
Bernt Gustaf Eneskjöld;/wiki/Bernt_Gustaf_Eneskj%C3%B6ld;;nobility;;;;i-6Rx4DzZ1HhADPNH7Dp7Wbj
Daniel Erik Bosin;/wiki/Daniel_Erik_Bosin;;nobility;;;Q104551793;i-Jg8vmt5AqUzNo3Zv1vSBBi
Johan Tandefelt;/wiki/Johan_Tandefelt;;nobility;;;Q104550011;i-CHNGvNVciPveECbeViCjMo
Carl Adolf Möllerswärd;/wiki/Carl_Adolf_M%C3%B6llersw%C3%A4rd;;nobility;;;;i-9HnBCGhbFTEXk76zm9ALQU
Robert Magnus Brunow;/wiki/Robert_Magnus_Brunow;;nobility;;;Q104551788;i-z1aA2KyhTnRjDaaHVeKnN
Georg Fredrik von Essen;/wiki/Georg_Fredrik_von_Essen;;nobility;;;Q104551775;i-YPUGzhWUpP3GBkQwRddPq3
Joakim Fredrik Lindtman;/wiki/Joakim_Fredrik_Lindtman;;nobility;;;Q104550059;i-3jixTK21y3YVWx7rDjktd1
