person_id,wiki_id,name
i-2VhaeA75HNF4Pr6FXDXgtW,Q100851697,Otto Johan Blåfield
i-2W4vYEoJYZJJk2NotrpeYd,Q11865418,Johan Julius Frithiof Perander
i-2WTpAbUHcxdqr6EZLuThwv,Q104622533,Henrik Riihimäki
i-2WWyV6tYwf1MCC9zgsfC2t,Q105636276,Gabriel Paunonen
i-2X7N1Zp3Fhx6CZv8Ja21nK,,Torsten Thure Renvall
i-2XhKnDrvwR1osJ5ryzubot,Q17383887,Gustaf Johan Silfversvan
i-2Y28YhcXXa6iFvLQQcnSZa,Q105662969,Esaias Tykki
i-2Y7nE87KujbGcxBqipXQGn,Q91615383,Gustaf Manninen
i-2ZVFdKNgodWAvp9mUf7Ku6,Q106811961,Carl Anton Reinhold Ludvig Cronstedt
i-2a1jEQVQLMgg8WcCkNCz31,Q6163504,August Ramsay
i-2aAsQDaQzvviNLiHAqhh6S,Q104143745,Nils Jakob Juselius
i-2ajE7JaFMbUYwaiy96tsv9,Q106766184,Hugo Edvard af Enehjelm
i-2dGWMbZNs6GoVNG5okZE2D,Q102322770,Gustaf Fritiof Utter
i-2dJVDxi9P9zCeZYiTSy5zw,Q63275048,Arthur William Forsman
i-2fdqTSk49fKzFFFCPWD78H,Q106323606,Carl Filip Lindfors
i-2g556HzWNUiGYftBbkrC5Z,Q106773917,Carl Axel Birger af Forselles
i-2hD21qWp9K67tPki4xh6zX,Q3375523,R. A. Wrede
i-2hVtHyiXzrjWbhZkz9yYBn,,Axel Robert von Bonsdorff
i-2iqk4FNw5j22mweLdquaqQ,Q15977177,Karl Henrik Hornborg
i-2j5uWs1Zs2SyeviLwx93NE,Q105752133,Sipro Ryösä
i-2kQwUtoHSwnYeLTXmLck8r,Q17382829,Hjalmar Gabriel Brander
i-2ktSPbgkPX87zvzbvSM2yv,Q104622018,Pietari Hoffrén
i-2ovyX7AoGzjWAqK7ZaGgd4,Q105751963,Gustaf Adolf Silén
i-2pD791VLsqhv5WJ2JcdDCs,,Karl Emil Stenbäck
i-2ubgZazdN7Hm8TmvgsEs2q,Q96033241,Johan Sundwall
i-2v1sP1pTkv6wpgJSg3UXcQ,Q63093240,Jakob Krank
i-2w9giVamyJ2nS6azpnMhFi,,Jaakko Häkli
i-2watXZpWpYKRSDFLMhu5JW,Q105663122,Adolf Fredrik Simolin
i-2wsSQtqSdS2J6cPYxSWnfE,Q17381721,Mikko Knuutila
i-2wujEHH64hvykeQfmZCyz8,Q11893228,Severus Konkola nuorempi
i-2wujEHH64hvykeQfmZCyz8,Q11893228,Severus Konkola
i-2xD73P53y2xgGBX4mgMEoj,,Henrik Carl Gustaf August Standertskjöld
i-2xbFzmJWLtL3VujRuxuuH6,Q100258348,Herman Snellman
i-2zbE3PvdvoGkzS28dDgVHx,Q107086199,Oscar Alexander von Nandelstadh
i-2znFq4zFPRn3Y3XsTtU4CK,Q106240921,Johan Strömberg
i-2znNEpx3EbGDV1yemS6Ho9,,Kaarle Ojanen
i-314YX7oeCU1LCaEEZaEhSZ,Q107069595,Georg Viktor Berndt von Haartman
i-32w487iUhzdyQvB8GvE88D,Q11853708,Axel Fredrik Tigerstedt
i-33ykiPLUFubmKhcMAMuGRr,Q102046761,Axel Ålenius
i-34Prj111JniZxW4PsiFt7f,Q104622014,Henrik Waris
i-34gigkRr2uXshwGmQ4qktb,Q5908691,Alfred Kihlman
i-34mfTvfVt9Bdb5T1DmaSyQ,Q107860656,Georg Kasimir Ladau
i-39HLCE9yBTZGgTmRXc8MV4,Q5990895,Clas Herman Molander
i-3AAUZNqftJnZPhMYWGsWAy,Q105946629,Stefan Träskelin
i-3AtCF9sv6EHtjCstTrjHpC,Q5392428,Victor von Haartman
i-3D2uY3oEe1uqnw7DGCGVHP,Q4241669,Carl Olof Cronstedt
i-3D2uY3oEe1uqnw7DGCGVHP,Q4241669,C. Cronstedt
i-3DCQUuckGm7CmAsdTRYLPZ,Q101332821,Frans Oskar Möller
i-3FVZgVd1FfWRDxHRadp7JQ,Q6030815,Carl Gustaf Ottelin
i-3HAnjNFH5KjSBTNKDd3TXb,Q103839739,Johan August Ferdinand Kuhlefelt
i-3JveTGquCFAK9y99eTAdvd,Q108122302,Ernst Johan von Willebrand
i-3KmZ2JW55We9zqnwrRNCgP,Q104815701,Peter Snellman
i-3Lihrx5B9cVVqhbadcPAMV,,Johan Viktor Segerstråle
i-3LrbQCv9wyK5t5xguHtg9N,Q104550046,Lars Olof Prytz
i-3NzetkZgoRr8VV7zjFi3ik,Q5603759,Simon Wilhelm Carpelan
i-3PE5fKCuiGvgujS7hty5ea,Q11858125,Eric von Rettig
i-3Pm2N36ePLqUGq4sbqCd2e,Q85998270,Kosti Vehanen
i-3QeX62WfBWmSXZfEa2V8Qq,Q104627343,Tuomas Tuomala
i-3QoJE2nk2uzndLypf2qBy4,Q11866741,John Hedberg
i-3Qx3Kq78Mhk3SQZyWMmLQk,Q105620602,Tuomas Poutiainen
i-3RMpW3iFEvgpKbFP34kXg8,,Werner Söderhjelm
i-3SZWVADXp26LoEUsfMXtuW,Q105751901,Eerik Tensikkala
i-3UZR8F4MDTpxope8ME8oS9,Q17384194,Werner Tawaststjerna
i-3XKSNQXdti9jfHeuCR5iY4,Q106766187,Carl Georg Estlander
i-3Yk43jdTxsejGwRJvyRtn9,,Gustaf Petterson
i-3Zr6LeVrErF9UF7ecwsP1e,Q104815711,Johan Alarik Roos
i-3ar8iPZ5CiM9KjHkxDUWKL,,Ernst Jakob Waldemar Bonsdorff
i-3azMqGSRVZPNhg24uDkjHa,,Otto Samuel Wendelin
i-3bvDg4jwac8mVz3EUo9zy2,Q105629965,Juhana Pohjalainen
i-3c3mMnWvqzrTpJhtECSCRN,Q4357663,Erik Berg
i-3dVVhxTjBDNPtjwMKrwZ4S,Q17382895,Erkki Peltonen
i-3hQah5EqNFdwtunyrvFwuo,Q19703284,Johan Arvid Hjorth
i-3jixTK21y3YVWx7rDjktd1,Q104550059,Joakim Fredrik Lindtman
i-3mroD8PP6BXregJQa4iQrM,Q60484738,Kasper Hjalmar Wrede
i-3nP1SqRS5aPNvyXZiEeovy,Q105454655,Matti Koponen
i-3nP8YuTqeTAw5agRhk1szM,Q5711432,Waldemar Eneberg
i-3ocbkCaKGJxUE9PNm413LR,Q30216290,Johan Solitander
i-3p1Nxw6gWRoVv2rt88vYC5,Q104622008,Henrik Pussila
i-3pBxWmein6Pp5EyVZ5sWeC,Q96781741,Johan Fredrik Barck
i-3qQ2rqBSKFC1Nnf3bj8fKb,Q106239241,Johan Josef Stenbäck
i-3ruKQDiwNgNwV4WyQ1b7yv,Q5485561,Fredrik Hertzberg
i-3so22gdMat8n2MaFav5XhX,Q106239269,Ferdinand Lojander
i-3unhb9g6v2qnZzyU7Qh1Vh,Q104550289,Gustaf af Stenhoff
i-3v2ZSphddKdKS1nPB6bQgG,Q27588825,Gustaf Adolf von Rehausen
i-3v3gbSH7mHSvBT2N9qxHtX,Q11860382,Georg von Winther
i-3vKiENeoA3CspmdF15oiTu,,Elias Öhman
i-3wbkcRH6vFcWFCrAj2yuYD,Q105702519,Lauri Määttä
i-3yL9ZeppZFT8EE4mKY6xtA,,Carl Johan Jägerhorn
i-3yRuVkrxYuHdk4Pt3aDdNL,Q105771901,Johan Mannstén
i-41d4zMw4hn2GPrzvCT2NuU,Q17383149,Wolter Ramsay
i-42bbqgxbvyzVXTAmjYWYGz,Q105751977,Gustaf Wilhelm Sandell
i-43CbwtzFU9fvE1ZC4NayXe,Q100988071,Karl Konstantin Fieandt
i-44XqmFJXMAvDCvwFoaKM3f,Q2253590,A. A. Granfelt
i-466ra1n3Tbh4r8eTuNGkPY,Q108003408,Fredrik Nikolai Onni Theodor von Zansen
i-474HvpA1ND4LbhnYkvxiwU,Q5220195,Hjalmar Lagerborg
i-48AqtYkQm7rn9USzASaSM8,Q104048299,Ernst Emil Vilhelm Wärnhjelm
i-48YM2b9BJr2htyWEZfcwUL,Q106906810,Carl Otto Alexander Munck
i-48bPgpGt4oMSMDPZWM69y8,Q105636273,Kustaa Pellonpää
i-49NneHoz93DCgq2dzhP6Gn,Q106224054,Gustaf Mauritz Helsingius
i-49ShqpNVqE9Mj1PyubtqSe,Q3515784,Emil Holmberg
i-49wxrLYQpVUaP1HQGn1g3p,Q2152676,Alexander Gadolin
i-4A9CR2nc4bk6QWfvH7vEuH,Q104549902,Henrik Gustaf von Knorring
i-4AGuGd38hf4KespK8MYj27,Q107006384,James Mauritz Tigerstedt
i-4BwLroNj7rxcFTDmwY5kn2,Q106323607,Juho Heikki Lauste
i-4BxrPp26pf8Z96Nxn6quS4,,Yrjö Sakari Yrjö-Koskinen
i-4CppSWoBCwEztjhtLaZxaR,Q106323487,David Knuutinen
