person_id,wiki_id,name
i-7cbszYFhoGcqA6j9sAaTGK,Q107283213,Berndt Theodor Munck
i-7gtxYc7PAsEZ3WK26gsMQF,Q85986829,Gustaf Vilhelm Arthur Armfelt
i-7jG8J9g1qE4EVZqJqnye6C,,K. E. Palmén
i-7jLpb1DTcomASwUADLnGHQ,Q98116426,Carl Gustaf Sanmark
i-7mVSinwDyPtE8zhFEJep7x,,Arvi Grotenfelt
i-7nQwnFEu5Yk3kSApPefrFA,Q11865396,Ivar Nordlund
i-7okXPeRPnEwup3QASuUY9C,Q105454409,Otto Edvard Könni
i-7opW91xqgWY1nubmyDoMYU,Q11873704,Kustaa Jalkanen
i-7pPnGhosJBATKgUE3yEKM6,Q101807788,Johan Oskar Terho
i-7pvtgkYBj65JtBKz3rwe8c,Q61104466,Ernst Fredrik Tihlman
i-7qwG4w9itd5BWSXBibBhxa,Q11899787,Uuno A. Varis
i-7r2DHZ8fkniPeRQbBRGNbv,Q4119026,Eero Erkko
i-7r77TsZ9KwmhJExgnCC3ao,Q11867648,Juho Wuolijoki
i-7rB9HBMPLd2PwDYtZ2ti9E,Q106323596,Kaarle Langén-Laurila
i-7sNfEShKSv93FkVwjokJFc,Q20252423,Oskar Nix
i-7sU3EJAqpGLKEaXLxNtHt4,Q104550073,Karl Henrik Adlercreutz
i-7suAnQ1yk1z5uZ9tjGZ7cu,Q4129860,Arvid Genetz
i-7tBzcdop95Z1XrJKrUj55e,,Yrjö Halonen
i-7tpmaTpqfQz64F9tV4rJwK,Q107994312,Johannes Eberhard von Schantz
i-7txY9TGxvA9452DMrBpy15,Q101184294,Gustaf Adolf Ingman
i-7uMXAQGFUobfV6rguMPypw,Q106224079,Herman Wahrman
i-7uhhayYnnRhw5eHnoRhghn,Q11857435,Elis Bergroth
i-7vAC7C5Kk5aWg5YhiSZpDB,Q102436273,Fredrik Edgar Leonard Bronikowsky
i-7x5gXVj79xJqm8cJn4jspv,Q61103320,Henrik Eliel Wegelius
i-7xojrwYzrjfB1sGMS95KXK,Q107968781,Carl August Edvard Gripenberg
i-7yK1RckJEeJLB92G95c3Gp,Q5964066,Viktor Löfgren
i-7yLhYQui5h64ArrLmA5HiH,Q104627325,Eric Borgström
i-7zrSCjdsCXYncQRKdZRTxq,Q11870160,Karl Wilhelm Sulin
i-81Zkpqx4nbx5hBdZktoW1S,,Torsten Thure Renvall
i-81mG7n9PvEMxCHFBNzHxss,Q105432236,Elias Lauko
i-82D95bTd5ouR2R7mb688Ah,Q106319490,Erik Johan Savón
i-83D8FaELLM87Hz9Bt9o7ZD,,Georg Herman August Wärnhjelm
i-841LACBsbRyzoAKcfc9o5p,Q5785113,Alexander Gustaf Julius Hallsten
i-88G2sF2D3mAUmxa3DguhUn,Q105337311,Tahvo Jaatinen
i-88mbe5FKDz8YjRfmAVcP1u,Q107283217,Evert Magnus Ridderstad
i-88xomuoxptTm5PMhHSyv7n,Q61103340,Sakari Westerlund
i-893yjQTkC3raezZozvP5nd,Q11859929,Frans Edvard Edelheim
i-89jFrq7FjBEeRhr9LtLkMw,Q103893763,Viktor Laurentius Helander
i-8Aw9hmkGUr4yviJqVZp1KP,Q104145188,Karl Viktor de la Chapelle
i-8CWDYcThFfzGbqmvH1qv7L,Q105432328,Konstantin Saarenpää
i-8E6upeFa6s7X6k7Za6dQbj,,Yrjö Koskinen Yrjö-Koskinen
i-8F6yZ5fv4PsFNEJFKjgVJt,Q105953045,Matti Paajanen
i-8GeeAGsycDjjsoq9W6d6Tc,Q101583718,Karl August Schroderus
i-8HZR2NvisVWTPQB7xrK1DU,,Edvard Jonas Wilhelm af Brunér
i-8JRHeBzG9FhLBAfHWFdMKQ,Q17380300,Johan Carl Emil af Frosterus
i-8KUwA5NWBtL5TRcnFSuPTv,Q11885598,Onni Hallsten
i-8L8ihSMPg33RVce6ZrdeRn,Q104995620,Juho Alastalo
i-8LkpMrYhYHUCw7RiiDKYqY,Q104602800,Samuel Backman
i-8MKgbaiETPMa7snAa5atfp,,Viktor Napoleon Procopé
i-8MTQrw9VruuDfFMpCcRgfk,Q109826718,Johan Olof Reinhold von Törne
i-8MwNLaJBXu8nAdT6Gqr8nk,Q107738934,Johan Henrik von Schrowe
i-8NLUfeFi4f6dm4dhXM28Dc,Q104551840,Adolf Johan Lilliebrunn
i-8NNRe1LusyHkG6BDLBZ7Lw,,Johan Viktor Segerstråle
i-8Nqw1ci2HJgHqGKyao4gz6,Q17384313,Juho Torppa
i-8QS8NxWXnYbGNGay7eWUi3,Q61968815,Karl Oskar Wasastjerna
i-8QYakWUV2VeaBeSr6opb8f,Q5773011,Julius Grotenfelt
i-8R39Rs6JwoiEqL1LjiujJ,,Axel Gustaf Mellin
i-8TL8oDdwcv5Rfdi8UttB5v,Q3450203,Isak Fellman
i-8VQqnGNtyopdxzqJosYc5d,Q107860633,Karl Allan Knut Schulman
i-8WEAdEX6W6PSz4dVAB2q1x,Q2580753,Nils Grotenfelt
i-8WEAdEX6W6PSz4dVAB2q1x,Q2580753,Nils Gustaf Maximilian Grotenfelt
i-8X1nwKUPMKMGEhCaJ33P2G,Q105351030,Juhana Hyytiäinen
i-8XNxnftYHEi8sGEojxrwPD,Q5546475,Kristian von Alfthan
i-8YeEziuDQVwm1GvFzc77Wq,Q105337196,Simo Joutsiniemi
i-8c2MfRHZBR9TdrUpFoRdqL,Q108122292,Johan Fredrik Vilhelm Standertskjöld
i-8ddXP3QtPr69f6uYhVcJDQ,Q104627331,Pietari Wästi
i-8eQY6NvFD14t75dYaVoyx,Q106323494,Juhana Koponen
i-8eiri4PHVg6DyL9rvPpUig,,Axel Wallensköld
i-8f5tRtT5D15j7HTFKPzTBC,Q103841123,Johan August Lindelöf
i-8fozU89a5VmbroNCoe3k21,Q105064093,Olli Fredrik Eronen
i-8gBsTMzJRwtbuFPKfppaoz,,Karl Adolf Nordenskiöld
i-8gwhDmAZHjAqSM8hKie1jm,Q107054983,Carl Gustaf Wilhelm von Christierson
i-8hkRHnwtDoBWMBMtRn1gNb,Q7107462,Ossian Schauman
i-8hwWSt9hLLAoqdEmjNSi6k,Q2484386,Victor Hackman
i-8jPmu3fvHohUUCeSGkkbXB,Q105045042,Georg Edgar Candelin
i-8mJQ5wHCNAfbcEDejmorgK,,Otto Reinhold af Schultén
i-8mvPui7iCgMuPDkVv3FBCd,,Wilhelm Thesleff
i-8n3nuTnzCqgxrCTWwYq1yu,Q20736830,Jakob Viktor Wasastjerna
i-8nkrbX44tFwdeyta5p3M66,Q106309490,Axel Grönlund
i-8nqjfZLHyegX2pFxRfwsvf,Q107968777,Karl Emil Blåfield
i-8pxfJdQC3EtDNSKhcsyFq3,Q105920766,Aadolf Tikkanen
i-8qrRwBURsh8DZrrsYhwTcH,,Alexander Verner Theodor Malin
i-8qrRwBURsh8DZrrsYhwTcH,,Alexander Werner Theodor Malin
i-8qsh7pqC4xy1uzUqXqL4u6,Q105701318,Carl Georg Rosenberg
i-8runLzZr3KN4su8JW8fxK8,Q85987828,Robert Gustaf Ivar Blåfield
i-8s1muuYkJkCuHXpZxcYW4y,Q104150529,Karl Magnus Holm
i-8szEC6gYbh13raoQapiDAe,Q102057607,Klas Erik Järnefelt
i-8tpmjoLjCwAvg1Z16Ymcr,Q6234867,Alexander von Weissenberg
i-8vaPG6C2FYVaveHA3TgTDk,Q61102753,Einar August Kalm
i-8xyPjYBT2s12KBdJzhtwhs,Q106223970,Fredrik Reinhold Ehnberg
i-94rK59UA38i4JL2Sug6o3i,Q104602798,Jakob Elias Granberg
i-95LiWSVCTALqsRCn79kA23,Q5962207,Torsten Leonard Lode
i-95QdUoEJ7M1gg4Cy6d3QMx,Q23698923,Johan Ludvig Snellman
i-95kqLStAkf79wjFbzwvEWA,Q17384963,Henrik Johan Wilhelm Zilliacus
i-96BNtQaSvwr9KuTw3K37Pg,Q105943518,Pontus Ludvig Dahlman
i-96gtHNi3JMykzgJTM4Hx9y,Q107069600,Georg Carl Fridolf Kuhlefelt
i-977pYss6B2QXmArbdaAc9A,Q104007019,Gustaf Johan Järnefelt
i-985PEcYLDmXuyQ4trfxpn,Q105645349,Antti Pullinen
i-98bUS6KbiDMJMtzt7fuK1Z,Q4355133,K. E. F. Ignatius
i-9AK7dPWyjYhWexSMJvpbu8,,Jaakko Päivärinta
i-9BZsYbmWS7yEa4DVTcfyQH,,Juhana Koivisto
i-9BsvhCCbJoxB6QVVgThqkj,Q107968788,Karl Alexander Napoleon Tigerstedt
i-9D2LibJwPUscnAJfeCAzVY,Q100988079,Johan August Florin
i-9DtdC6x5pi2pfrUoXBHv3k,Q17382509,Juho Mynttinen
i-9Dzc4G9y6rKN78zKhtTiwK,Q104551880,Otto Christer Boije af Gennäs
i-9EfV4uzcskNg6eMDJmJWxf,Q101214375,August Artur Jusélius
i-9FZDduUZPKfxMMbkLVwAqa,Q107968778,Karl Anders Herman Boije af Gennäs
i-9Fj91ko5X9A2V9Yf4tWMNm,,Alexander Järnefelt
i-9HnBCGhbFTEXk76zm9ALQU,Q64027481,Carl Adolf Möllerswärd
i-9JWwhn8FEqrGcWpcwD2uFj,Q104550386,Erik Johan Örnhielm
i-9JYQQJa8gS6udXTpcpAtpY,Q792420,Axel Gadolin
i-9LLh6mGQVjVanYHbQEP6bz,,Edvard Bergenheim
i-9MPizvkX1LoAoUhNc7DgND,Q104413208,Berndt Gustaf Mellin
i-9MiqEpsW88NKxRdhD585EG,Q106705870,Rabbe Gustaf Otto Wrede
i-9NPbqrVhnEWt9rc4ue6aY7,Q11858495,Ernst Gustaf von Willebrand
i-9NbuRgUjosumWbUFQEtRjx,,Samuel Werner von Troil
i-9QnzH3tsT5uUVRkYzhnCWS,,Erik Pöysti
i-9T67JZDMoYXjzwrS37CBea,Q106319482,Hjalmar Johan Gabriel Grahn
i-9TQo34sR4SsRuzb8rTTykD,Q105701085,Yrjö Adolf Taskinen
i-9TS8gGDDuE6YKRByELCps3,Q11864420,Iisakki Hoikka
i-9TfojbbARyc5sts1fzmS22,Q103841120,Gabriel Johan Masalin
i-9WxSZn2XaTPYpzCwu6SqF4,Q107797800,Hugo Kasimir Nordenswan
i-9YnqBLMGaHBapiMMXa6o2H,Q100800012,Juho Pitkänen
i-9aDbyMZb3HGMW7gsFNVDFf,Q105432288,Heikki Hassinen
i-9bSw8ogaWR8y3VeYE83s1h,,Juhani Alin
i-9bXKRcbNZcEMCDoY2xG6Cc,Q105337220,Kalle Juvonen
i-9cNGjk8nmAZ5wckaFxZGFJ,,N. R. af Ursin
i-9d9rupBa8UeJDKSfpquqqZ,,Axel Björkenheim
i-9dEtecWrB9KpuBkeP6YcXk,Q6158388,Max Oker-Blom
i-9dg76NYKpBg8v4pLegJS4u,Q56061835,Herman Viktor von Willebrand
i-9eGZuCKQEKyP2g7MzLLqxp,Q102436312,Frans Joakim Torckell
i-9fpoHmFM6CjhEHuaVzbMqT,Q11855015,Carl Robert Mannerheim
i-9h6okN8c4Eaw2Pw3PKzSBY,Q17382981,Wilhelm Pipping
i-9hHPWbbtgznfxec4dGcfyM,Q23698908,Gustaf Rudolf Idman
i-9jb7omAsinf5HbDQnJqHNR,,Karl Langenskiöld
i-9jtVjCnqH9JnweAna4Vvxn,Q106323719,Richard Labbart
i-9ke1vqyxGLfkocb4LBaBab,Q11861838,Heikki Jaatinen
i-9ny5NiSBTsXytTLwVXN882,Q104235956,Karl Vilhelm Spåre
i-9o6BZDKt1PPEyqAU5GBdFF,Q106239323,Frans August Törnroth
i-9oAGbXKxe5dgbbLMbJ63tk,Q4357216,Allan Serlachius
i-9oxDi4BqdVHRsvWRKNPpdt,,Arthur Castrén
i-9pashV7KkwGfYg8WYhns6X,Q105045048,Alfred Filip Danielson
i-9qPvWq1wFGkiUncHLpBr6R,,Juho Siirilä
i-9sKLrfez1BQeoAsquLZ5Zh,,Johan Leonard Borgström
i-9scE8GLLDQjMZAp1w2Xbym,,Arvid Grotenfelt
i-9tbDnbqB7YsA4c84fGjvUA,,Adolf Theodor Rosenbröijer
i-9tguivNUzbLPw7XBnebqv4,,Pietari Wäänänen
i-9thAhg8ZLGWJfcGpsVfS2n,Q106323614,Matti Montonen
i-9vkyMVcmbACmYXjiobcPPP,Q6232877,Adolf Wasenius
i-9vuvSe6iaLrwXwh2hAz1V6,Q106239334,Robert Rissanen
i-9xUHPAc9cf8T1C3qtsfCqM,Q101558683,Viktor Jedidjah Alfred Roos
i-9yCuh5VFC9nkwFCb65mpa1,Q104631384,Henrik Granroth
i-A22VbgnxUPudCU4PsdfXhZ,Q105620413,Kaarle Prusi
i-A2GaSvBy1gWZzs8Xge9ifx,Q106812042,Hugo Oskar Alexander Magnus von Heideman
i-A2fa7zDugMgoGur3miP6wM,Q106239289,Oskar Hedlund
i-A3bUhmmU7zXynBpDrUyQCp,Q101558602,August Michael Schauman
i-A3iNU74qwgCMgUUvCNEK5W,Q17382045,Oskari Laine
i-AB24JHsfZmbjgiaW1jhHpr,Q106989473,Gösta August Sackleen
i-ABDvGmsKHsoRMRCJLhfgDu,Q6232872,Selim Osvald Wasastjerna
i-ABLF8gmTUdDY82WDDDAPc5,Q104551848,Fredrik Adolf Ramsay
i-ABctK3KggnFuTKUoTXHBqy,Q105069785,Carl Gustaf Fredriksson
i-ADfVS7eRk52CEC91t8k4DD,Q107994309,August von Nandelstadh
i-ADo3dxzyboJHdTWQddKbDD,Q104143749,Frans Henrik Bergroth
i-AE2jQwCp42q2H3c7Yw4f16,Q106967415,Axel Waldemar af Björksten
i-AE5UX4C5hvz1dFN1ErAFEX,,Gustaf Adolf Heman
i-AFemGZFFfQwsEoFgxVNfFY,Q102436290,Jakob Cederberg
i-AHE3ySk5hTh2HNnKw9VDUz,Q105454297,Lassi Laitinen
i-AJ842ydXS7vgqvEHKBzHhk,Q5478917,W. A. Lavonius
i-AJPQWcxL1eHvoEv1DVLV5Y,Q106967420,John Waldemar von Bonsdorff
i-AKsnxsoVapWRnsPiZjSj3K,Q104631373,Gustaf Falck
i-AMbv6XaREqcEhBMpVdPC16,,Josef Grönberg
i-AMw8Mgy5XNirhXZx9dDqkZ,Q106919253,Ernst Viktor von Rehausen
i-ANUxojotq7DijYTTSvqBif,,Sebastian Gripenberg
i-ASEDaBg8bCZ47EA2Ncmhc5,Q85986973,Johan Fredrik Gustav Aminoff
i-AVxkEH2ndEP8Y9Rxbhajt3,Q104549905,Daniel Mattens
i-AY3QyG2gGZEVpLWyHUrhbG,Q107069605,Elis Gustaf Ferdinand Kuhlefelt
i-AYi31TTTpecT6X8KWsTfWs,Q105350977,Anders Keto
i-AYiV7HbSDVG5jNgjNsg7Z8,Q107968779,Alfred Oskar von Bonsdorff
i-AYoxgmS8gHJDiYdTBRU1Bm,Q101084746,Axel August Hårdh
i-AZnkerqXAUAGLvKWER21jf,Q11897371,Theodor August Heikel
i-AZxxB54asACcX6sEP5PAsm,Q102968763,Ernst Albert Gustaf Brander
i-AadCTC2BzQJMamTxWgzfdo,Q6080124,Georg Gustaf Alexander Rosenqvist
i-AbBzS623kguAxboqvMi468,Q37140464,Carl Wilhelm Ignatius Sundman
i-AcadzVECTWqSPpXBg9Ceq7,,Adolf Törngren
i-Adw7hSqFhqRTF21aMdhwtq,,Juho Koivisto
i-AeAKY6FRuKvjWSGR8TKYMW,Q106773926,Gabriel Benjamin Cronstedt
i-AeYQdyFLwTn8ciBYDRNroB,Q11850819,Alfred Brynolf Roos
i-Ag2dXchos5RbVTmHNpsiNd,Q106766175,Adolf Constantin Mechelin
i-AgCTsSPCdS4oz5dpEzWJuw,Q106811996,Claes Edvin Godenhjelm
i-AgcEUG25XRCYwbKjGUqhAY,Q109826711,Nikolai Thesleff
i-Ai2Vxnnt6x7heSv8ZxsABW,Q108043660,Fredrik af Forselles
i-Ak7N9dsY58qdazSR8az2qg,,Wilhelm Thesleff
i-Am5M117G1VX7yJjQ9Nirc2,,Robert Lagerborg
i-AoDGaMXUxZPU84yZTfL3Xc,Q104376666,Fredrik Ernst Gottlieb von Zansen
i-AovpAdtzwGCCHia2yCxBFW,Q11861477,Hans Henrik Stjernvall
i-AqNCzZorQgts4d814jQzws,Q106967469,Magnus Mikael von Kothen
i-AqV62fLqiqwcHy4Bm1fTdb,Q21558186,Julius Adalbert Joakim von Minkwitz
i-At8UeWaVLSrVHh5pXGXtHY,Q4520142,Johan Eberhard von Schantz
i-At9a8ncvtGPg92S7PgB8fA,Q11856628,Edvin Bergroth
i-Atxa2Kx8Acoj72bWbshGTU,Q6067133,Thiodolf Rein
i-AtzZDHHkMR8JK9m5A1frvF,Q97191820,Nils Bernt Grotenfelt
i-Au3rrHPYjxqFxpM5yc49pc,,Carl August Standertskjöld
i-AufWqe4gwH5wra4K3X99qW,Q108146071,Fredrik Jonas Klingstedt
i-Aw4gJLPj64MCzSUx8SpjWN,Q20736803,J. G. von Schrowe
i-Ay8y6qphUDYbXoFXQgQvgE,Q28028856,Alexander Gustaf Walle
i-AyjRaKbfynRtsDXw51CRKR,,Karl Fredrik Öller
i-B25euU6eTmVWcf2VC3ZBV6,Q100272554,Knut Anthoni
i-B7K44WE4uTopCniVGbSNrZ,,Alexander von Collan
i-BAA6DXrSNMcvsehisGYrrM,,Kyösti Kallio
i-BAU3baAe7zojX4UuSwFbCY,Q105454393,Oskar Aleksander Laakso
i-BAsdkUAfynNL2Jzg6L3dJP,Q102267270,Göran Erik Axel Silfverhjelm
i-BCmnuEz5aJnzUHzf4jVQdx,Q11860820,Gustaf August Wasastjerna
i-BEFpWcMG6eSPfMjZfo6dq4,Q108056305,Conrad Osvald Hjerta
i-BErd1xbD4tu5tZsqSXAGg3,,Kustavi Eriksson
i-BErjhp3tUnzeux36oFRArJ,Q105337332,Aapeli Häyrinen
i-BFXGLL5T7vstV6eAeM3pFC,Q104622031,Pietari Haaranen
i-BGAeCdEhEejx8yNT2yysq,Q105663079,Matti Teräs-Rautila
i-BGmnCwGAP9Zt7Yd8H5Wx92,,Gabriel Geitlin
i-BJyQJPdthT1RRdTugUdZuZ,,Robert Castrén
i-BKn5P8moHXW7NGJY13Xq5b,Q106766166,Carl Rudolf Christer Schulman
i-BM1QN3ZJ5FqkktH9JwVhGK,Q2668824,Leo Mechelin
i-BMoWT8Xrb6F9Sd1pAiEukD,,Theodor Frithiof Blåfield
i-BQTtemhRFxri8bkWA15fpW,Q107012263,Hugo Johan Wilhelm Wadenstjerna
i-BRoiG3xAGsA1EaT65kUat9,,Zakarias Castren
i-BS1rKVRVpWVyF8aZNiP25T,Q5484401,Leonard Candelin
i-BSfxELZs3g9kkgrVdbhP6j,,Pekka Neiglick
i-BThsfEh3vpoxkcnJ81XGHZ,Q105064076,Juho Heikki Filppula
i-BVXDm1b3RxFthPv2nGio2h,Q107337682,Robert Lagus
i-BZ8i7NmzmpP3su9DMKv4YP,Q5492252,Johan Fredrik Bergh
i-BZAwKB57hxWAxUW9igVcyV,Q106896031,Adolf Ferdinand von Konow
i-BZcWSDvtNyyk6RFdnt8wYX,Q101759019,Johan Axel Tammelander
i-BatWG7uNejqjtwBH4edeGU,Q104631352,Johan Lundström
i-Bc255J2cg5S3LZQwLqTD4Y,,Pekka Leppänen
i-Bc9VryKJgRdQ9o8WmNiP9u,,August Törnqvist
i-BdcCax9AbjJYKF3SaEwTau,Q5773020,Kustavi Grotenfelt
i-BeRvKqtBy9SWuixQwoec6u,Q100799794,Anton Viktor Appelqvist
i-BgDmVff4RSeFszcVttKU7T,Q101592511,Maximilian Spåre
i-BgRe1Jf11YU2kCDyNdfQZu,Q107201195,Otto Alfred von Fieandt
i-BhMbzimeFJ3hWrFCA46k9Y,,Erik Johan Stråhle
i-BiLJE3xxrrRCyZeZCQjHcJ,Q105337273,Paavo Kasurinen
i-BjxmQY1CzA2Wn37fiD1ULi,Q105702517,Johan Mynttinen
i-BkfYGrQhuNkoLkYwAJNYb4,Q104172922,Otto Fabian Nimrod Granfelt
i-BmATyXPFLNiu7CPo7Haome,,Aleksanteri Kilpiäinen
i-BnZAQWKX1K6S8Qb5ikFP38,,Otto Vilhelm Ehrström
i-BoCjzxB1HqWMKLwoKMFc5u,Q107018373,Oskar Guido Tapio Aminoff
i-BomaSmZdrkS9SfScDXqfPA,Q105037569,Karl Johan Bonde
i-BrKJnQtih3hhFEfYd26FMg,Q101034212,Hugo Ferdinand Forss
i-BrZ1PXPwfSSdCK1yGsSzYn,Q23039748,Vladimir Alfons Walleen
i-BtKC4BiMQJZbVVYnLQwpf7,Q106323602,Iisakki Liimatainen
i-BtSnmoZRRAQCGZifMmfTuu,Q104383009,Axel Gustaf August Palmfelt
i-BtZVosHd2uL9vUhLKvDuFK,,K. E. Palmén
i-BtkiybKfkP1KVCMNqew6TJ,Q5720633,Anders Josef Europaeus
i-BtxQggZEw3AuzJaJjHSSUG,,Fredrik Frans Wallenstråle
i-BtyTqDgYHyDR8B3iubyn6A,Q5493382,Viktor Julius von Wright
i-Bw6JVg4K4gVgwPuaUH4W9g,Q107323177,Karl Max Werner Schulman
i-ByV3q8UYJxZUcqKajsXRpC,Q107750236,Mauritz Wladimir Armfelt
i-BzeGNjerrfRj5hBnkJBnu1,,Arthur Olivier Blomberg
i-BzrNqqibkf4bK5hsMA9r4e,Q105943516,Christian Edvard Boehm
i-Bzs7yrrw7GC9b8QUnmsx8D,,Jalo Järnefelt
i-C1erW2VL4DDDK4tT3v1qWW,Q107750283,Fredrik Frithiof Maximilian Gottlieb von Zansen
i-C2YSDtx3p1JrB819QRiS7w,Q11866580,Jean Cronstedt
i-C3DvrWyQ2EcBDMiprvuVyR,Q106272565,Theodor Frosterus
i-C3tFZeQMtsSkn3VQAU4bJr,,Juho Brander
i-C4a3WTXNcs3RVBdmWXkxK,Q105337228,Pekka Kakkinen
i-C5N8HQPmJLpinDQjyVTdbJ,Q105048330,Salomon Ek
i-C6EPxSGo8zoNw6eBd9AeNi,Q106812017,Tor Nils Adolf Grotenfelt
i-C7gacFwYKBuChyxT82r3YD,Q11850599,Albert Oskar Snellman
i-C9KYhraNLJSN4TypRVTUUr,Q4355145,Lennart Gripenberg
i-C9Liy8FfDtnT7havRNLi11,Q2151937,Gustaf Gadolin
i-C9dmrUvwspHpLHXM6o1jJo,Q5807467,Arthur Hjelt
i-CA11FK6DFAdcRD28ckK5f7,Q5780994,Carl Daniel von Haartman
i-CAhqDoBcsxJ76kroHgGKnE,Q104143746,Anton Johan Thermén
i-CBdpqVDCbhmGYHAKYVJWxE,Q58073177,Henrik Piipponen
i-CCNrmbC6eeG1mBia8WfLFy,Q85995619,Karl von Guvenius
i-CEVumXnsAM6JuerGsXPqM1,Q104550304,Fredrik Segercrantz
i-CEp3RjrmexchFBpruvkhuA,,Alfred Rosenbröijer
i-CFL7Y68fc6XBuSEp4v5zKb,Q105943510,Petter Johan Hämäläinen
i-CFM4Fw2rCrVGNA1oeR3pqL,,Adolf Edvard Björkenheim
i-CGNfHCSmfYZ4tNvJeVzTTV,Q20736664,Ludvig Gustaf Leonhard Clouberg
i-CHNGvNVciPveECbeViCjMo,Q104550011,Johan Tandefelt
i-CHi1dmNTtAJXTkRBi7jcFv,Q108067073,Magnus Fredrik Tandefelt
i-CM2N1ripkWqmSaCMrmMPMn,Q11851990,Anton Lilius
i-CN9ba2YkypvRWcT57zJXWv,Q29419475,Elis Furuhjelm
i-CRi4mjW1YHACfcQN5mhvhT,Q11289035,Julius af Lindfors
i-CUH1897dUXkF8BmavDD7AX,Q106323496,Aleksi Korvenranta
i-CUNt4MfeMgrPQH48kPoQbT,,Aukusti Mäkipeska
i-CVDaphfMZ6gK7wkELrJyYe,Q11902413,Wilhelm Stjernschantz
i-Ca2QuiRDT4tckhMQkbSfi1,Q11858511,Ernst Roini
i-Cc5prx5Y6fGy4RZqhPRyiV,Q105645284,Wasilei Ratinen
i-CfP1eF37sJ1qKcMK6SnTzr,Q105756265,Karl Johan Winter
i-Ch447cysQKzmWCS8pD5SXN,Q107337677,Johan Wladimir Furuhjelm
i-Chqg2d75JTMBvZikcSgGtQ,,Petter Silfverskiöld
i-ChuomtmkLkdJ7EejCZL8M7,Q11861473,Hans Gustaf Boije
i-CisiTZA8jBe6U9YcQPijf8,Q59656522,Matias Putkonen
i-CmC4bc6fLeNXZGLuA7s28T,Q97194540,Carl Edvard Stjernvall
i-CmRgA6fB7vmvVAhfT14CUq,,Robert Severin af Björksten
i-Co9zWb9dbmqdAqR9Ai1MMM,Q107978487,Karl Gustaf Brakel
i-CoMYVcvAbrFUkcyuiLmjQG,Q5408404,Juhana Petter Valkola
i-Coo61MAWDWCSEhiPZdqNyd,Q106945193,Uno Alfons Wasastjerna
i-CpsZQHqcUJ8sJsVExPYDCJ,Q21558202,Pehr Malm
i-CqTKzpVB1Ea1CPnfyEN8TZ,,Claes Samuel Segerstråle
i-CsCxdQ9CvKUh2iT7axN5Jf,,Adolf Edvard Björkenheim
i-CsR6q8gQ8FuLGMLHgCXMP3,Q30174487,Waldemar Walli
i-CsR6q8gQ8FuLGMLHgCXMP3,Q30174487,Anshelm Waldemar Walli
i-Csh2t8e4vQFJ5jd4fGxQUH,Q55395966,Tauno Järnefelt
i-CtQQMeujQ2FqS3AuwoqMbU,Q11886018,Otto Karl von Fieandt
i-Cv9BDDHsNUPXghUwXRjrTE,Q105432181,Kaarle Komonen
i-CxC5n56mokAqSKPwqL2VNN,Q11890649,Richard Casimir de la Chapelle
i-CyA98HnR3uENykk8myABmW,Q23698991,Axel Henrik Antell
i-D1FsfDBmNqCrFh66jtDHKq,Q11856605,Edvard Hannula
i-D1GPM5fGkX12cAZ2QV4vzv,Q56521046,Leopold Söderström
i-D2acnqebDyDVJURxAjB9gQ,Q4527584,Allan Schulman
i-D2g5wWQiqw9p79PhuHGzim,Q101084740,Salomon Hirvinen
i-D4E6gAdmGpe5X5b1EYPpiK,Q104550277,Adam Teodor Langenskiöld
i-D6Mi4GWWJsTvqGyurVJi26,Q100323030,Fredrik Hellman
i-D6jqe532xJggDLmgRRL1jE,,August Benjamin af Schultén
i-D711TKU9YcRjKQmWmQGtnW,Q61104721,Paul von Etter
i-DAZaB4rXYdybpMQTXGxsze,,Herman Standertskjöld-Nordenstam
i-DAswt6RRgwU6zpSfVftUAi,Q105432279,Sanfrid Hasselqvist
i-DAwXJdCpLgLeKVYt7T9rqv,Q107283219,Fredrik Walter Rosenlew
i-DDHcpPqCSSHpgWZ2afLyzG,Q107201216,Alfred Michael von Haartman
i-DDgKtyukp5C3sUFLMZ19u8,Q108122298,Nikolai Alexander Thesleff
i-DFYQrVEmnc2KccuuDpq1ib,Q102057592,Artur Emil Vilhelm Klinckowström
i-DGGHbV8Jc5iYsn2a5HmaYT,Q102076980,Abdon Alfred Fredrik Lindberg
i-DJWGoTpJ6wbx8LwyyourdQ,Q518896,Carl Gustaf Estlander
i-DJYAsvPi1ZhTVooPhbrAZK,,Rafael Spåre
i-DJayEMtESDA9vaivmbihCb,Q11881761,Matts von Nandelstadh
i-DJqfu91o5SoXbVjmmMRAqq,,Victor Napoleon Procopé
i-DLrya1y4fvPTxo19ycSwui,Q108056307,Gustaf Magnus Leonard Jägerskiöld
i-DMkWg2gYcX75t4EbByUoqv,Q107323187,Rabbe Wladimir Wrede
i-DSET3vjnWX2zKq1Tg2WY8p,Q106323724,Viktor Bergman
i-DSe7Sukmush1y9amrLd4oZ,Q105045041,Matti Auvinen
i-DSjrPP1Ub5W9gAqYsTTrAh,Q100784211,Otto Immanuel Appelberg
i-DTCBRT9AaMKs7eLkCRmGkS,Q106766161,Arthur Reinhold von Essen
i-DV5KHjXrAZsvXFDWwDKJxa,,Uno Kurtén
i-DWiyp39c5DMfpZq6cMdmVh,,Johan Matias Hackzell
