swerik_person_id,wikipedia_url
i-QEY8yLYiTTD8YcFBZFzwF5,/wiki/Matti_Leino_(valtiopäivämies)
i-BtKC4BiMQJZbVVYnLQwpf7,/wiki/Iisakki_Liimatainen
i-3yRuVkrxYuHdk4Pt3aDdNL,/wiki/Johan_Mannstén
i-BjxmQY1CzA2Wn37fiD1ULi,/wiki/Johan_Mynttinen
i-CUNt4MfeMgrPQH48kPoQbT,/wiki/Aukusti_Mäkipeska
i-Lk3BJdRWnrZD4VkCKeqBtp,/wiki/Paavo_Nyrönen
i-8F6yZ5fv4PsFNEJFKjgVJt,/wiki/Matti_Paajanen
i-4tBRiwxoFnwzLd3TCQ26cB,/wiki/Lauri_Pelkonen_(valtiopäivämies)
i-3bvDg4jwac8mVz3EUo9zy2,/wiki/Juhana_Pohjalainen
i-254g857EoqyeksFi9ULpYn,/wiki/Tuomas_Poikela
i-KJqM4wnygHX4r49KxPJzSp,/wiki/Carl_Fredrik_Pousar
i-S2JvqMtVriHzJCtaWZ97W7,/wiki/Antti_Puhakka
i-L2BLKXDd3w8s4qqNPwAExg,/wiki/Heikki_Punttala
i-MNyNttGEs2xVMSxNfSviJD,/wiki/Matti_Retula
i-Fhpw6o7Qy1YaRxYQmNUM8W,/wiki/Johan_Simula
i-2watXZpWpYKRSDFLMhu5JW,/wiki/Adolf_Fredrik_Simolin
i-EEDumsMkgt1qv2LRDpuUid,/wiki/Antti_Sinkko
i-Ev9rwChsySU6VMfbevkpjp,/wiki/Carl_Johan_Slotte
i-NsHXM2LemEn2bjvkhHbwra,/wiki/Claes_Robert_Stenroth
i-BGAeCdEhEejx8yNT2yysq,/wiki/Matti_Teräs-Rautila
i-XhpQXjgjbWqp6yVdMAGi9S,/wiki/Lauri_Tiainen_(valtiopäivämies)
i-QsddKiAiTQrxhHXVtrHq6U,/wiki/Aleksanteri_Tuloisela
i-2Y28YhcXXa6iFvLQQcnSZa,/wiki/Esaias_Tykki
i-STAnaSXq3Wzd8jSfHgfAs6,/wiki/Antti_Uotila
i-RUbcSSRCcGyP1SMHNcHDBY,/wiki/Gustav_Vanha-Seppälä
i-Ni6TkJz5gHK9gkCs1fQnPw,/wiki/Erkki_Juho_Warpenius
i-EZKSYqQGo6bru2L8grnLU5,/wiki/Pehr_Östring
i-9LLh6mGQVjVanYHbQEP6bz,/wiki/Edvard_Bergenheim
i-3FVZgVd1FfWRDxHRadp7JQ,/wiki/Carl_Gustaf_Ottelin
i-LworoXnhdkkqSH2e65xuXx,/wiki/Robert_Frosterus
i-2X7N1Zp3Fhx6CZv8Ja21nK,/wiki//wiki/Torsten_Thure_Renvall
i-PQjdcYv8HUE6sNCSihTk2j,/wiki//wiki/Elias_Malakias_Rosengren
i-TenXkjdHcqi3QqXg8Aj7co,/wiki//wiki/Karl_Jakob_Helander
i-Q76pbjMuE4qKSn7QggecGP,/wiki//wiki/Herman_Hell%C3%A9n
i-3ruKQDiwNgNwV4WyQ1b7yv,/wiki//wiki/Fredrik_Hertzberg
i-5HQc6CAQGNSATTKMNeimw8,/wiki//wiki/Karl_Efraim_Lilius
i-AMbv6XaREqcEhBMpVdPC16,/wiki//wiki/Josef_Gr%C3%B6nberg
i-RTvTgtKDAuhsqLL4VrqGxQ,/wiki//wiki/August_Edvard_Granfelt
i-G1koBoY9BodkJrpULKg4MG,/wiki//wiki/Gabriel_Geitlin
i-N3KeHTJ7pgpFitvvhKrhUK,/wiki//wiki/Frans_Ludvig_Schauman
i-LccoceJBCqoQP5iE7k45vu,/wiki//wiki/Benjamin_Sulin
i-VGFz9DroijEWpEY772XNUv,/wiki//wiki/Otto_Vilhelm_Ehrstr%C3%B6m
i-4ewLb4CJJQuJNK5m3jCQ5a,/wiki//wiki/Henrik_Heikel
i-QHeFmPFqTzUKYegijGeky4,/wiki//wiki/Karl_Fredrik_Stenb%C3%A4ck
i-jgr1jkvdMBMBw64HgftTg,/wiki//wiki/Carl_Gustaf_von_Essen
i-5T6AsSRhL77pTpiwR9N9i7,/wiki//wiki/Alexander_Ferdinand_Borenius
i-J2bYY8oWuqJZiyuxqjuQzQ,/wiki//wiki/Johan_Matias_Hackzell
i-6uejJqDBJbUVFdJWmQS9Sw,/wiki//wiki/Frans_Arvid_Snellman
i-TmxEAscjG4hPj3fvW7XYWt,/wiki//wiki/Axel_Fredrik_Granfelt
i-R9jTBuaffAFW9tqnohzFxo,/wiki//wiki/Samuel_Henrik_Nordstr%C3%B6m
i-2HrSoCSC4HZ2SVh4Nh66Kx,/wiki//wiki/Adolf_Fredrik_Sir%C3%A9n
i-E6yXJrnTXL624QDwbQ21Pk,/wiki//wiki/Magnus_Erik_Alopaeus
i-BZ8i7NmzmpP3su9DMKv4YP,/wiki//wiki/Johan_Fredrik_Bergh
i-WXLLFK1W2bbmPmonvvGKY8,/wiki//wiki/Aaron_Gustaf_Borg
i-BtkiybKfkP1KVCMNqew6TJ,/wiki//wiki/Anders_Josef_Europaeus
i-BRoiG3xAGsA1EaT65kUat9,/wiki//wiki/Zachris_Castr%C3%A9n_(1817%E2%80%931868)
i-NG9kNwuhydnAfCZMfVWjFj,/wiki//wiki/Julius_Immanuel_Bergh
i-GwgXfMJUCLmbCeE55ztiRb,/wiki//wiki/Kustaa_Adolf_Saxb%C3%A4ck
i-V24KRbvVLtC2BtTHC8wN7v,/wiki//wiki/Albert_Heikel
i-Wc94mfKvFCXNZujj6r2PaP,/wiki/Johan_Fredrik_Ahlberg
i-N2PwTvXjXUdT9dRHeMawYq,/wiki/Edvard_Bergh
i-XiVVgVb5iaBAvUJZsKjy2J,/wiki/Olof_Blom
i-7vAC7C5Kk5aWg5YhiSZpDB,/wiki/Fredrik_Edgar_Leonard_Bronikowsky
i-UeTxv9rgAELGir3fWfG4jh,/wiki/Frans_Julius_Cederman
i-8xyPjYBT2s12KBdJzhtwhs,/wiki/Fredrik_Reinhold_Ehnberg
i-RLK2wujPko39urNNKUwfR1,/wiki/Adolf_Wilhelm_Granstr%C3%B6m
i-PfNDvdPUw3V2yuQ3zFXWwn,/wiki/Otto_Reinhold_Gr%C3%B6nholm
i-KDkAw6MJH2W79wd7auFFmc,/wiki/Woldemar_Hackman
i-UGnMF187bsPNnrbM6fZK27,/wiki/Anders_Gustaf_Hamberg
i-49NneHoz93DCgq2dzhP6Gn,/wiki/Gustaf_Mauritz_Helsingius
i-XW5vSkDhiDBuTQzpqfPxmM,/wiki/Gustaf_Adolf_Lindblom
i-QmDvF6akeQRHNrBxFgwyU3,/wiki/Antti_Juhana_Mustonen
