person_id,wiki_id
i-2ajE7JaFMbUYwaiy96tsv9,Q106766184
i-2dGWMbZNs6GoVNG5okZE2D,Q102322770
i-2dJVDxi9P9zCeZYiTSy5zw,Q63275048
i-2fdqTSk49fKzFFFCPWD78H,Q106323606
i-2g556HzWNUiGYftBbkrC5Z,Q106773917
i-2hD21qWp9K67tPki4xh6zX,Q3375523
i-2iqk4FNw5j22mweLdquaqQ,Q15977177
i-2j5uWs1Zs2SyeviLwx93NE,Q105752133
i-2kQwUtoHSwnYeLTXmLck8r,Q17382829
i-2ktSPbgkPX87zvzbvSM2yv,Q104622018
i-2ovyX7AoGzjWAqK7ZaGgd4,Q105751963
i-2ubgZazdN7Hm8TmvgsEs2q,Q96033241
i-2v1sP1pTkv6wpgJSg3UXcQ,Q63093240
i-2watXZpWpYKRSDFLMhu5JW,Q105663122
i-2wsSQtqSdS2J6cPYxSWnfE,Q17381721
i-2wujEHH64hvykeQfmZCyz8,Q11893228
i-2xbFzmJWLtL3VujRuxuuH6,Q100258348
i-2zbE3PvdvoGkzS28dDgVHx,Q107086199
i-2znFq4zFPRn3Y3XsTtU4CK,Q106240921
i-314YX7oeCU1LCaEEZaEhSZ,Q107069595
i-32w487iUhzdyQvB8GvE88D,Q11853708
i-33ykiPLUFubmKhcMAMuGRr,Q102046761
i-34Prj111JniZxW4PsiFt7f,Q104622014
i-34gigkRr2uXshwGmQ4qktb,Q5908691
i-34mfTvfVt9Bdb5T1DmaSyQ,Q107860656
i-39HLCE9yBTZGgTmRXc8MV4,Q5990895
i-3AAUZNqftJnZPhMYWGsWAy,Q105946629
i-3AtCF9sv6EHtjCstTrjHpC,Q5392428
i-3D2uY3oEe1uqnw7DGCGVHP,Q4241669
i-3DCQUuckGm7CmAsdTRYLPZ,Q101332821
i-3FVZgVd1FfWRDxHRadp7JQ,Q6030815
i-3HAnjNFH5KjSBTNKDd3TXb,Q103839739
i-3JveTGquCFAK9y99eTAdvd,Q108122302
i-3KmZ2JW55We9zqnwrRNCgP,Q104815701
i-3LrbQCv9wyK5t5xguHtg9N,Q104550046
i-3NzetkZgoRr8VV7zjFi3ik,Q5603759
i-3PE5fKCuiGvgujS7hty5ea,Q11858125
i-3Pm2N36ePLqUGq4sbqCd2e,Q85998270
i-3QeX62WfBWmSXZfEa2V8Qq,Q104627343
i-3QoJE2nk2uzndLypf2qBy4,Q11866741
i-3Qx3Kq78Mhk3SQZyWMmLQk,Q105620602
i-3SZWVADXp26LoEUsfMXtuW,Q105751901
i-3UZR8F4MDTpxope8ME8oS9,Q17384194
i-3XKSNQXdti9jfHeuCR5iY4,Q106766187
i-3Zr6LeVrErF9UF7ecwsP1e,Q104815711
i-3bvDg4jwac8mVz3EUo9zy2,Q105629965
i-3c3mMnWvqzrTpJhtECSCRN,Q4357663
i-3dVVhxTjBDNPtjwMKrwZ4S,Q17382895
i-3hQah5EqNFdwtunyrvFwuo,Q19703284
i-3jixTK21y3YVWx7rDjktd1,Q104550059
i-3mroD8PP6BXregJQa4iQrM,Q60484738
i-3nP1SqRS5aPNvyXZiEeovy,Q105454655
i-3nP8YuTqeTAw5agRhk1szM,Q5711432
i-3ocbkCaKGJxUE9PNm413LR,Q30216290
i-3p1Nxw6gWRoVv2rt88vYC5,Q104622008
i-3pBxWmein6Pp5EyVZ5sWeC,Q96781741
i-3qQ2rqBSKFC1Nnf3bj8fKb,Q106239241
i-3ruKQDiwNgNwV4WyQ1b7yv,Q5485561
i-3so22gdMat8n2MaFav5XhX,Q106239269
i-3unhb9g6v2qnZzyU7Qh1Vh,Q104550289
i-3v2ZSphddKdKS1nPB6bQgG,Q27588825
i-3v3gbSH7mHSvBT2N9qxHtX,Q11860382
i-3wbkcRH6vFcWFCrAj2yuYD,Q105702519
i-3yRuVkrxYuHdk4Pt3aDdNL,Q105771901
i-41d4zMw4hn2GPrzvCT2NuU,Q17383149
i-42bbqgxbvyzVXTAmjYWYGz,Q105751977
i-43CbwtzFU9fvE1ZC4NayXe,Q100988071
i-44XqmFJXMAvDCvwFoaKM3f,Q2253590
i-466ra1n3Tbh4r8eTuNGkPY,Q108003408
i-474HvpA1ND4LbhnYkvxiwU,Q5220195
i-48AqtYkQm7rn9USzASaSM8,Q104048299
i-48YM2b9BJr2htyWEZfcwUL,Q106906810
i-48bPgpGt4oMSMDPZWM69y8,Q105636273
i-49NneHoz93DCgq2dzhP6Gn,Q106224054
i-49ShqpNVqE9Mj1PyubtqSe,Q3515784
i-49wxrLYQpVUaP1HQGn1g3p,Q2152676
i-4A9CR2nc4bk6QWfvH7vEuH,Q104549902
i-4AGuGd38hf4KespK8MYj27,Q107006384
i-4BwLroNj7rxcFTDmwY5kn2,Q106323607
i-4CppSWoBCwEztjhtLaZxaR,Q106323487
i-4EfZwZYPcDqVAtpcDCJzjM,Q105432376
