person_id,wiki_id,name,is_primary
i-6cWDpivCCHx8nsC26q3ZfQ,Q5568264,فرانس جوسيف فون بيكر,false
i-N2PwTvXjXUdT9dRHeMawYq,Q5572052,Edvard Bergh,true
i-N2PwTvXjXUdT9dRHeMawYq,Q5572052,Edvard Bergh (publicist),false
i-N2PwTvXjXUdT9dRHeMawYq,Q5572052,Johan Herman Edvard Bergh,false
i-S1pw6piuuiCbir7ePXdqY4,Q5578552,Petter Johan Bladh,true
i-S1pw6piuuiCbir7ePXdqY4,Q5578552,Bladh,false
i-S1pw6piuuiCbir7ePXdqY4,Q5578552,Pehr Johan Bladh,false
i-S1pw6piuuiCbir7ePXdqY4,Q5578552,Pehr Johann Bladh,false
i-S1pw6piuuiCbir7ePXdqY4,Q5578552,Peter Johan Bladh,false
,Q5580871,Constantin Boije af Gennäs,true
,Q5581664,Hjalmar von Bonsdorff,true
,Q5581664,"Bonsdorff, Hjalmar von",false
,Q5581664,Hjalmar v. Bonsdorff,false
,Q5581664,"von Bonsdorff, Hjalmar",false
,Q5581664,Яльмар Викторович фон Бонсдорф,false
,Q5581664,ヒャルマル・フォン・ボンスドルフ,false
i-NZKAm3ErTL9hjBC4SPLuqU,Q5581958,Adolf von Bonsdorff,true
i-NZKAm3ErTL9hjBC4SPLuqU,Q5581958,Adolf v. Bonsdorff,false
i-NZKAm3ErTL9hjBC4SPLuqU,Q5581958,"Bonsdorff, Adolf von",false
i-NZKAm3ErTL9hjBC4SPLuqU,Q5581958,"von Bonsdorff, Adolf",false
i-Tqp3j9qYioq4RaiA7DM5ac,Q5581962,Carl Gabriel von Bonsdorff,true
i-Tqp3j9qYioq4RaiA7DM5ac,Q5581962,Carl von Bonsdorff,false
i-Tqp3j9qYioq4RaiA7DM5ac,Q5581962,"Бонсдорф, Карл Габриель",false
i-Tqp3j9qYioq4RaiA7DM5ac,Q5581962,Карл Габриель Бонсдорф,false
i-HMYu9fE5ywoYGF6TqvESdP,Q5581971,Hjalmar Gabriel von Bonsdorff,true
i-GL42zd2qVjzLjjZ4FhqajZ,Q5581985,Johan Gabriel von Bonsdorff,true
i-VbQi5D8Ho9a1gwVtHWXrrt,Q5582751,Johan August von Born,true
i-VbQi5D8Ho9a1gwVtHWXrrt,Q5582751,"Juhana Aukusti von Born, 1.Baron of Sarvilahti",false
i-VbQi5D8Ho9a1gwVtHWXrrt,Q5582751,Юхан Август фон Борн,false
,Q5588635,Theodor Bruun,true
,Q5588635,Th. Bruun,false
,Q5588635,"Брун, Фёдор Антонович",false
,Q5588635,Теодор Брун,false
,Q5588635,Фёдор Антонович Брун,false
i-3NzetkZgoRr8VV7zjFi3ik,Q5603759,Simon Wilhelm Carpelan,true
i-3NzetkZgoRr8VV7zjFi3ik,Q5603759,Simon Vilhelm Carpelan,false
i-3NzetkZgoRr8VV7zjFi3ik,Q5603759,"Карпелан, Симон Вильгельм",false
i-3NzetkZgoRr8VV7zjFi3ik,Q5603759,Симон Вильгельм Карпелан,false
i-Eoh6go1r2gZUEHoWkD2wZf,Q5603762,Tor Carpelan,true
i-Eoh6go1r2gZUEHoWkD2wZf,Q5603762,Tor Harald Carpelan,false
i-Eoh6go1r2gZUEHoWkD2wZf,Q5603762,Тор Карпелан,false
i-9dg76NYKpBg8v4pLegJS4u,Q56061835,Herman Viktor von Willebrand,true
i-9dg76NYKpBg8v4pLegJS4u,Q56061835,Herman Victor von Willebrand,false
i-9dg76NYKpBg8v4pLegJS4u,Q56061835,Herman von Willebrand,false
i-mqFQ18ES1erLNMqHvDjc5,Q5608838,Anders Herman Chydenius,true
i-mqFQ18ES1erLNMqHvDjc5,Q5608838,Anders Chydenius,false
i-HfEbbpVpEUS7EMymsy7tc6,Q5609964,Zacharias Cleve,true
i-HfEbbpVpEUS7EMymsy7tc6,Q5609964,Zacharias Joachim Cleve,false
i-HfEbbpVpEUS7EMymsy7tc6,Q5609964,Zachris Joachim Cleve,false
,Q5613560,Carl Cronstedt,true
i-LNeAt3ynhMRqUa1ahgphLr,Q5614505,Johan Henrik Cygnaeus,true
i-LNeAt3ynhMRqUa1ahgphLr,Q5614505,Johan Henrik Cygnæus,false
i-LNeAt3ynhMRqUa1ahgphLr,Q5614505,Johan Hinric Cygnaeus,false
i-JS46V6rNtkSEGJw4cigY71,Q5614831,Woldemar von Daehn,true
i-JS46V6rNtkSEGJw4cigY71,Q5614831,Woldemar Carl von Daehn,false
i-JS46V6rNtkSEGJw4cigY71,Q5614831,Woldemar Karl von Daehn,false
i-JS46V6rNtkSEGJw4cigY71,Q5614831,Владимир Александрович фон Ден,false
i-JS46V6rNtkSEGJw4cigY71,Q5614831,"Ден, Владимир Александрович фон",false
i-JS46V6rNtkSEGJw4cigY71,Q5614831,ولدمار فون داهن,false
i-JS46V6rNtkSEGJw4cigY71,Q5614831,ولديمار ڤون دايهن,false
